SP,RP,SRP,LRP,FHP,BHP,RANK,RANKDIFF,SA,SRA,FHA,BALANCE,WON,Player ID
0.6,0.4,0.244,0.756,0.511,0.489,1,-0.06207823144807917,0.1999999999999999,-0.512,0.022,0.3531553398058252,1.0,1
0.666,0.334,0.194,0.806,0.171,0.829,12,0.06207823144807917,0.332,-0.6120000000000001,-0.6579999999999999,0.879854368932039,-1.0,2
0.522,0.478,0.295,0.705,0.72,0.28,3,-0.039504329103323105,0.044,-0.41,0.4399999999999999,0.450242718446602,1.0,3
0.558,0.442,0.205,0.795,0.617,0.383,10,0.039504329103323105,0.116,-0.5900000000000001,0.2339999999999999,0.4781553398058253,-1.0,4
0.561,0.439,0.157,0.843,0.578,0.422,3,0.01128695117237803,0.122,-0.6859999999999999,0.1559999999999999,0.49271844660194186,1.0,3
0.588,0.412,0.196,0.804,0.38,0.62,1,-0.01128695117237803,0.176,-0.6080000000000001,-0.24,0.5291262135922332,-1.0,1
0.594,0.406,0.347,0.653,0.358,0.642,12,0.028217377930945076,0.1879999999999999,-0.306,-0.284,0.3798543689320389,1.0,2
0.573,0.427,0.308,0.692,0.567,0.433,7,-0.028217377930945076,0.1459999999999999,-0.3839999999999999,0.1339999999999999,0.31067961165048547,-1.0,5
0.594,0.406,0.246,0.754,0.739,0.261,3,-0.05079128027570114,0.1879999999999999,-0.508,0.478,0.6201456310679613,1.0,3
0.602,0.398,0.205,0.795,0.5,0.5,12,0.05079128027570114,0.2039999999999999,-0.5900000000000001,0.0,0.3895631067961165,-1.0,2
0.517,0.483,0.189,0.811,0.534,0.466,1,-0.005643475586189015,0.034,-0.6220000000000001,0.068,0.3470873786407767,1.0,6
0.511,0.489,0.311,0.689,0.466,0.534,2,0.005643475586189015,0.022,-0.3779999999999999,-0.068,0.1917475728155341,-1.0,7
0.54,0.46,0.44,0.56,0.62,0.38,3,-0.03386085351713409,0.08,-0.12,0.24,0.1747572815533982,1.0,8
0.538,0.462,0.487,0.513,0.461,0.539,9,0.03386085351713409,0.076,-0.026,-0.078,0.016990291262136033,-1.0,9
0.506,0.494,0.413,0.587,0.554,0.446,1,-0.03386085351713409,0.012,-0.174,0.108,0.08616504854368945,1.0,1
0.493,0.507,0.28,0.72,0.506,0.494,7,0.03386085351713409,-0.014,-0.4399999999999999,0.012,0.1905339805825243,-1.0,5
0.5,0.5,0.34,0.66,0.452,0.548,1,-0.04514780468951212,0.0,-0.32,-0.096,0.1601941747572817,1.0,6
0.481,0.519,0.407,0.593,0.555,0.445,9,0.04514780468951212,-0.038,-0.186,0.11,0.11043689320388354,-1.0,9
0.59,0.41,0.363,0.637,0.409,0.591,3,0.005643475586189015,0.18,-0.274,-0.182,0.2936893203883496,-1.0,8
0.522,0.478,0.477,0.523,0.604,0.396,2,-0.005643475586189015,0.044,-0.046,0.2079999999999999,0.0885922330097088,1.0,7
0.541,0.459,0.236,0.764,0.263,0.737,31,0.1467303652409144,0.082,-0.528,-0.474,0.5655339805825244,1.0,10
0.524,0.476,0.36,0.64,0.483,0.517,5,-0.1467303652409144,0.048,-0.28,-0.034,0.12742718446601958,-1.0,11
0.509,0.491,0.235,0.765,0.49,0.51,12,-0.028217377930945076,0.018,-0.53,-0.02,0.25242718446601947,1.0,2
0.548,0.452,0.387,0.613,0.7,0.3,17,0.028217377930945076,0.096,-0.2259999999999999,0.3999999999999999,0.345873786407767,-1.0,12
0.586,0.414,0.206,0.794,0.642,0.358,54,0.23702597461993863,0.172,-0.5880000000000001,0.284,0.5412621359223302,-1.0,13
0.583,0.417,0.354,0.646,0.395,0.605,12,-0.23702597461993863,0.1659999999999999,-0.292,-0.2099999999999999,0.3131067961165048,1.0,2
0.584,0.416,0.358,0.642,0.547,0.453,54,0.1467303652409144,0.1679999999999999,-0.284,0.094,0.2390776699029127,1.0,13
0.588,0.412,0.352,0.648,0.5,0.5,28,-0.1467303652409144,0.176,-0.296,0.0,0.19417475728155342,-1.0,14
0.524,0.476,0.393,0.607,0.586,0.414,54,-2.505703160267923,0.048,-0.2139999999999999,0.172,0.17111650485436894,1.0,13
0.541,0.459,0.416,0.584,0.702,0.298,498,2.505703160267923,0.082,-0.1679999999999999,0.4039999999999999,0.304611650485437,-1.0,15
0.545,0.455,0.303,0.697,0.781,0.219,42,-3.9391459591599327,0.09,-0.3939999999999999,0.562,0.54247572815534,1.0,16
0.7,0.3,0.3,0.7,1.0,0.0,740,3.9391459591599327,0.3999999999999999,-0.3999999999999999,1.0,1.0,-1.0,17
0.567,0.433,0.405,0.595,0.513,0.487,204,0.0,0.1339999999999999,-0.1899999999999999,0.026,0.12014563106796117,-1.0,18
0.536,0.464,0.512,0.488,0.85,0.15,288,0.0,0.072,0.024,0.7,0.39077669902912626,1.0,19
0.48,0.52,0.28,0.72,0.75,0.25,62,-0.1467303652409144,-0.04,-0.4399999999999999,0.5,0.5024271844660194,-1.0,20
0.515,0.485,0.272,0.728,0.666,0.334,88,0.1467303652409144,0.03,-0.4559999999999999,0.332,0.404126213592233,1.0,21
0.515,0.485,0.424,0.576,0.75,0.25,42,-1.3882949942024978,0.03,-0.1519999999999999,0.5,0.32160194174757284,1.0,16
0.5,0.5,0.4,0.6,0.684,0.316,288,1.3882949942024978,0.0,-0.1999999999999999,0.368,0.25242718446601947,-1.0,19
0.47,0.53,0.411,0.589,0.6,0.4,44,-2.516990111440301,-0.06,-0.178,0.1999999999999999,0.17354368932038844,1.0,22
0.437,0.563,0.437,0.563,0.458,0.542,490,2.516990111440301,-0.1259999999999999,-0.1259999999999999,-0.084,0.11165048543689314,-1.0,23
0.568,0.432,0.318,0.682,0.72,0.28,368,1.9695729795799664,0.1359999999999999,-0.364,0.4399999999999999,0.4781553398058253,-1.0,24
0.568,0.432,0.409,0.591,0.59,0.41,19,-1.9695729795799664,0.1359999999999999,-0.182,0.18,0.20995145631067952,1.0,25
0.564,0.436,0.41,0.59,0.684,0.316,55,-1.7212600537876497,0.1279999999999999,-0.18,0.368,0.3179611650485437,1.0,26
0.615,0.385,0.269,0.731,0.52,0.48,360,1.7212600537876497,0.2299999999999999,-0.4619999999999999,0.04,0.3519417475728156,-1.0,27
0.586,0.414,0.195,0.805,0.565,0.435,44,0.14108688965472538,0.172,-0.6100000000000001,0.1299999999999999,0.46116504854368945,1.0,22
0.553,0.447,0.34,0.66,0.717,0.283,19,-0.14108688965472538,0.106,-0.32,0.434,0.42961165048543704,-1.0,25
0.419,0.581,0.354,0.646,0.58,0.42,21,-0.16366079199948144,-0.1619999999999999,-0.292,0.1599999999999999,0.2803398058252427,-1.0,28
0.452,0.548,0.261,0.739,0.585,0.415,50,0.16366079199948144,-0.096,-0.478,0.1699999999999999,0.3592233009708739,1.0,29
0.523,0.477,0.19,0.81,0.38,0.62,35,-0.08465213379283523,0.046,-0.6200000000000001,-0.24,0.4575242718446603,-1.0,30
0.515,0.485,0.303,0.697,0.727,0.273,50,0.08465213379283523,0.03,-0.3939999999999999,0.4539999999999999,0.4405339805825242,1.0,29
0.454,0.546,0.212,0.788,0.718,0.282,143,0.5022693271708224,-0.092,-0.5760000000000001,0.436,0.5776699029126215,-1.0,31
0.463,0.537,0.414,0.586,0.658,0.342,54,-0.5022693271708224,-0.074,-0.172,0.316,0.24878640776699032,1.0,32
0.604,0.396,0.354,0.646,0.583,0.417,558,0.0,0.2079999999999999,-0.292,0.1659999999999999,0.31189320388349523,1.0,33
0.622,0.378,0.244,0.756,0.409,0.591,149,0.0,0.244,-0.512,-0.182,0.47694174757281554,-1.0,34
0.45,0.55,0.3,0.7,0.625,0.375,21,-2.92332035364591,-0.1,-0.3999999999999999,0.25,0.36286407766990303,1.0,28
0.5,0.5,0.375,0.625,0.645,0.355,539,2.92332035364591,0.0,-0.25,0.29,0.23543689320388358,-1.0,33
0.55,0.45,0.25,0.75,0.5,0.5,242,0.0,0.1,-0.5,0.0,0.27184466019417486,-1.0,35
0.545,0.455,0.393,0.607,0.787,0.213,127,0.0,0.09,-0.2139999999999999,0.5740000000000001,0.4405339805825244,1.0,36
0.441,0.559,0.395,0.605,0.674,0.326,143,0.0,-0.118,-0.2099999999999999,0.348,0.3179611650485437,1.0,31
0.454,0.546,0.545,0.455,0.625,0.375,198,0.0,-0.092,0.09,0.25,0.16990291262135931,-1.0,37
0.566,0.434,0.4,0.6,0.758,0.242,21,-0.5982084121360356,0.1319999999999999,-0.1999999999999999,0.516,0.4223300970873787,-1.0,28
0.564,0.436,0.307,0.693,0.605,0.395,127,0.5982084121360356,0.1279999999999999,-0.3859999999999999,0.2099999999999999,0.3470873786407767,1.0,36
0.444,0.556,0.388,0.612,0.611,0.389,36,-0.6377127412393587,-0.112,-0.2239999999999999,0.2219999999999999,0.24635922330097096,1.0,22
0.409,0.591,0.59,0.41,0.409,0.591,149,0.6377127412393587,-0.182,0.18,-0.182,0.23786407766990295,-1.0,34
0.513,0.487,0.351,0.649,0.54,0.46,208,1.0045386543416448,0.026,-0.298,0.08,0.1529126213592233,-1.0,38
0.511,0.489,0.266,0.734,0.577,0.423,30,-1.0045386543416448,0.022,-0.4679999999999999,0.1539999999999999,0.29854368932038833,1.0,14
0.5,0.5,0.25,0.75,0.483,0.517,91,-1.5180949326848452,0.0,-0.5,-0.034,0.23179611650485446,-1.0,39
0.487,0.513,0.256,0.744,0.564,0.436,360,1.5180949326848452,-0.026,-0.488,0.1279999999999999,0.29733009708737873,1.0,27
0.575,0.425,0.424,0.576,0.757,0.243,50,-0.07900865820664621,0.1499999999999999,-0.1519999999999999,0.514,0.40291262135922323,1.0,29
0.692,0.308,0.384,0.616,0.615,0.385,64,0.07900865820664621,0.3839999999999999,-0.2319999999999999,0.2299999999999999,0.42111650485436897,-1.0,40
0.666,0.334,0.181,0.819,0.727,0.273,28,-0.10158256055140227,0.332,-0.6379999999999999,0.4539999999999999,0.7718446601941749,1.0,41
0.714,0.286,0.238,0.762,0.666,0.334,46,0.10158256055140227,0.428,-0.524,0.332,0.6868932038834953,-1.0,42
0.589,0.411,0.384,0.616,0.743,0.257,17,-0.33860853517134093,0.178,-0.2319999999999999,0.486,0.4514563106796116,1.0,43
0.64,0.36,0.44,0.56,0.68,0.32,77,0.33860853517134093,0.28,-0.12,0.36,0.3689320388349515,-1.0,44
0.564,0.436,0.333,0.667,0.684,0.316,150,0.6094953633084136,0.1279999999999999,-0.334,0.368,0.41140776699029125,-1.0,45
0.511,0.489,0.232,0.768,0.697,0.303,42,-0.6094953633084136,0.022,-0.536,0.3939999999999999,0.48543689320388356,1.0,16
0.5,0.5,0.611,0.389,0.722,0.278,88,-0.3329650595851519,0.0,0.2219999999999999,0.4439999999999999,0.31189320388349506,-1.0,21
0.515,0.485,0.363,0.637,0.625,0.375,147,0.3329650595851519,0.03,-0.274,0.25,0.2439320388349514,1.0,46
0.923,0.077,0.23,0.77,0.538,0.462,288,1.2923559092372845,0.8460000000000001,-0.54,0.076,0.7949029126213595,-1.0,19
0.666,0.334,0.393,0.607,0.636,0.364,59,-1.2923559092372845,0.332,-0.2139999999999999,0.272,0.404126213592233,1.0,47
0.6,0.4,0.36,0.64,0.673,0.327,147,0.0,0.1999999999999999,-0.28,0.346,0.40898058252427194,1.0,46
0.609,0.391,0.365,0.635,0.658,0.342,276,0.0,0.2179999999999999,-0.27,0.316,0.39563106796116515,-1.0,48
0.608,0.392,0.304,0.696,0.63,0.37,59,-0.38375633986085306,0.2159999999999999,-0.3919999999999999,0.26,0.4344660194174757,1.0,47
0.588,0.412,0.235,0.765,0.549,0.451,127,0.38375633986085306,0.176,-0.53,0.098,0.39563106796116515,-1.0,36
0.489,0.511,0.285,0.715,0.489,0.511,46,-0.05079128027570114,-0.022,-0.43,-0.022,0.19538834951456321,-1.0,42
0.49,0.51,0.2,0.8,0.6,0.4,55,0.05079128027570114,-0.02,-0.6000000000000001,0.1999999999999999,0.40533980582524287,1.0,26
0.631,0.369,0.263,0.737,0.777,0.223,128,0.47405194923987726,0.262,-0.474,0.554,0.6905339805825244,-1.0,49
0.636,0.364,0.333,0.667,0.727,0.273,44,-0.47405194923987726,0.272,-0.334,0.4539999999999999,0.5509708737864079,1.0,22
0.583,0.417,0.27,0.73,0.541,0.459,242,0.0,0.1659999999999999,-0.4599999999999999,0.082,0.3373786407766991,1.0,35
0.581,0.419,0.325,0.675,0.767,0.233,288,0.0,0.1619999999999999,-0.35,0.534,0.54247572815534,-1.0,19
0.485,0.515,0.314,0.686,0.685,0.315,143,0.31039115724039584,-0.03,-0.372,0.37,0.37621359223300976,1.0,31
0.521,0.479,0.565,0.435,0.727,0.273,88,-0.31039115724039584,0.042,0.1299999999999999,0.4539999999999999,0.28762135922330095,-1.0,21
